combo,weight,ev
AsKsQsJs,1,0.1
AhKhQhJh,1,0.1
AdKdQdJd,1,0.1
AcKcQcJc,1,0.1
AsKsQsTs,1,0.09
AhKhQhTh,1,0.09
AdKdQdTd,1,0.09
AcKcQcTc,1,0.09
AsKsQsQh,1,0.6
AsKsQsQd,1,0.6
AsKsQsQc,1,0.6
AhKhQhQd,1,0.6
AhKhQhQc,1,0.6
AhKhQsQh,1,0.6
AdKdQdQc,1,0.6
AdKdQsQd,1,0.6
AdKdQhQd,1,0.6
AcKcQsQc,1,0.6
AcKcQhQc,1,0.6
AcKcQdQc,1,0.6
AsKsQsJh,1,0.21
AsKsQsJd,1,0.21
AsKsQsJc,1,0.21
AhKhQhJd,1,0.21
AhKhQhJc,1,0.21
AhKhQhJs,1,0.21
AdKdQdJc,1,0.21
AdKdQdJs,1,0.21
AdKdQdJh,1,0.21
AcKcQcJs,1,0.21
AcKcQcJh,1,0.21
AcKcQcJd,1,0.21
AsKsQsTh,1,0.2
AsKsQsTd,1,0.2
AsKsQsTc,1,0.2
AhKhQhTd,1,0.2
AhKhQhTc,1,0.2
AhKhQhTs,1,0.2
AdKdQdTc,1,0.2
AdKdQdTs,1,0.2
AdKdQdTh,1,0.2
AcKcQcTs,1,0.2
AcKcQcTh,1,0.2
AcKcQcTd,1,0.2
AsKsQs9h,1,0.01
AsKsQs9d,1,0.01
AsKsQs9c,1,0.01
AhKhQh9d,1,0.01
AhKhQh9c,1,0.01
AhKhQh9s,1,0.01
AdKdQd9c,1,0.01
AdKdQd9s,1,0.01
AdKdQd9h,1,0.01
AcKcQc9s,1,0.01
AcKcQc9h,1,0.01
AcKcQc9d,1,0.01
AsKsJsTs,1,0.11
AhKhJhTh,1,0.11
AdKdJdTd,1,0.11
AcKcJcTc,1,0.11
AsKsJsJh,1,0.43
AsKsJsJd,1,0.43
AsKsJsJc,1,0.43
AhKhJhJd,1,0.43
AhKhJhJc,1,0.43
AhKhJsJh,1,0.43
AdKdJdJc,1,0.43
AdKdJsJd,1,0.43
AdKdJhJd,1,0.43
AcKcJsJc,1,0.43
AcKcJhJc,1,0.43
AcKcJdJc,1,0.43
AsKsJsTh,1,0.26
AsKsJsTd,1,0.26
AsKsJsTc,1,0.26
AhKhJhTd,1,0.26
AhKhJhTc,1,0.26
AhKhJhTs,1,0.26
AdKdJdTc,1,0.26
AdKdJdTs,1,0.26
AdKdJdTh,1,0.26
AcKcJcTs,1,0.26
AcKcJcTh,1,0.26
AcKcJcTd,1,0.26
AsKsJs9h,1,0.03
AsKsJs9d,1,0.03
AsKsJs9c,1,0.03
AhKhJh9d,1,0.03
AhKhJh9c,1,0.03
AhKhJh9s,1,0.03
AdKdJd9c,1,0.03
AdKdJd9s,1,0.03
AdKdJd9h,1,0.03
AcKcJc9s,1,0.03
AcKcJc9h,1,0.03
AcKcJc9d,1,0.03
AsKsTsTh,1,0.28
AsKsTsTd,1,0.28
AsKsTsTc,1,0.28
AhKhThTd,1,0.28
AhKhThTc,1,0.28
AhKhTsTh,1,0.28
AdKdTdTc,1,0.28
AdKdTsTd,1,0.28
AdKdThTd,1,0.28
AcKcTsTc,1,0.28
AcKcThTc,1,0.28
AcKcTdTc,1,0.28
AsKsTs9h,1,0.08
AsKsTs9d,1,0.08
AsKsTs9c,1,0.08
AhKhTh9d,1,0.08
AhKhTh9c,1,0.08
AhKhTh9s,1,0.08
AdKdTd9c,1,0.08
AdKdTd9s,1,0.08
AdKdTd9h,1,0.08
AcKcTc9s,1,0.08
AcKcTc9h,1,0.08
AcKcTc9d,1,0.08
AsKsTs8h,1,0.04
AsKsTs8d,1,0.04
AsKsTs8c,1,0.04
AhKhTh8d,1,0.04
AhKhTh8c,1,0.04
AhKhTh8s,1,0.04
AdKdTd8c,1,0.04
AdKdTd8s,1,0.04
AdKdTd8h,1,0.04
AcKcTc8s,1,0.04
AcKcTc8h,1,0.04
AcKcTc8d,1,0.04
AsKs9s9h,1,0.07
AsKs9s9d,1,0.07
AsKs9s9c,1,0.07
AhKh9h9d,1,0.07
AhKh9h9c,1,0.07
AhKh9s9h,1,0.07
AdKd9d9c,1,0.07
AdKd9s9d,1,0.07
AdKd9h9d,1,0.07
AcKc9s9c,1,0.07
AcKc9h9c,1,0.07
AcKc9d9c,1,0.07
AsKs8s8h,1,0.02
AsKs8s8d,1,0.02
AsKs8s8c,1,0.02
AhKh8h8d,1,0.02
AhKh8h8c,1,0.02
AhKh8s8h,1,0.02
AdKd8d8c,1,0.02
